title,link,pub_date,image_url
Rishi Sunak launches manifesto with National Insurance cuts and new Help to Buy,https://www.bbc.co.uk/news/live/uk-politics-69108457,"Tue, 11 Jun 2024 05:13:52 GMT",
Objects thrown at Nigel Farage on open-top bus,https://www.bbc.com/news/articles/cmjj1n030djo,"Tue, 11 Jun 2024 12:01:09 GMT",
Blinken says fate of Israel-Gaza ceasefire plan down to Hamas,https://www.bbc.com/news/articles/cj77j7ppj52o,"Tue, 11 Jun 2024 13:11:16 GMT",
BBC to air special programme for Michael Mosley,https://www.bbc.com/news/articles/czkkpkkeyn2o,"Tue, 11 Jun 2024 10:15:21 GMT",
Animal rights activists cover King's portrait with picture of Wallace,https://www.bbc.com/news/articles/cydd9ye77rmo,"Tue, 11 Jun 2024 14:29:51 GMT",
'You're afraid to be ill' - the town struggling to see a doctor,https://www.bbc.com/news/articles/c4n11y2dg20o,"Tue, 11 Jun 2024 05:43:23 GMT",
"Gary Glitter told to pay victim £508,000 damages",https://www.bbc.com/news/articles/cyjjg4ljmkgo,"Tue, 11 Jun 2024 11:17:42 GMT",
Flights offer for crisis-hit Nigerian students,https://www.bbc.com/news/articles/cx004z4k22go,"Tue, 11 Jun 2024 05:03:22 GMT",
Ukraine 'hits missile launch sites in Russia',https://www.bbc.com/news/articles/cv22jek87dno,"Tue, 11 Jun 2024 13:36:52 GMT",
Four US college instructors stabbed in public park in China,https://www.bbc.com/news/articles/c844q27v732o,"Tue, 11 Jun 2024 12:22:43 GMT",
Unemployment rate highest for more than two years,https://www.bbc.com/news/articles/c2881jmwjlmo,"Tue, 11 Jun 2024 11:22:49 GMT",
Catapult shots from 13th Century found at castle,https://www.bbc.com/news/articles/c1vvkxwg11zo,"Tue, 11 Jun 2024 05:25:58 GMT",
One week left to register to vote - what you need to know,https://www.bbc.co.uk/news/uk-politics-62064552,"Mon, 10 Jun 2024 16:28:02 GMT",
Starmer accuses Sunak of 'Jeremy Corbyn-style' manifesto,https://www.bbc.com/news/articles/c1dd7m3zjxzo,"Tue, 11 Jun 2024 12:52:46 GMT",
'It's a lovely place but we can't afford to live here',https://www.bbc.com/news/articles/c0dd4kdpp3po,"Tue, 11 Jun 2024 05:25:12 GMT",
Who are the leaders taking part in BBC Scotland's election debate?,https://www.bbc.com/news/articles/cmmm8nz1l2yo,"Tue, 11 Jun 2024 07:33:05 GMT",
What is National Insurance and how much do I pay?,https://www.bbc.co.uk/news/explainers-63635185,"Tue, 11 Jun 2024 13:41:13 GMT",
What's the real distance between Sunak and Starmer on climate?,https://www.bbc.com/news/articles/cp335p7x315o,"Tue, 11 Jun 2024 06:25:10 GMT",
Tories pledge to boost home ownership in manifesto,https://www.bbc.com/news/articles/c9rr1r4wgleo,"Tue, 11 Jun 2024 10:46:05 GMT",
"Labour promises 100,000 urgent child dental appointments",https://www.bbc.com/news/articles/crgglpvze3no,"Tue, 11 Jun 2024 06:18:48 GMT",
Former Scottish Greens leader Robin Harper joins Labour,https://www.bbc.com/news/articles/cyxx9x773nlo,"Tue, 11 Jun 2024 12:04:22 GMT",
Who can I vote for in the general election?,https://www.bbc.com/news/articles/cw55nk6yn01o,"Mon, 10 Jun 2024 14:53:49 GMT",
Liberal Democrat manifesto: 11 key policies analysed,https://www.bbc.com/news/articles/cqeevzldj0jo,"Mon, 10 Jun 2024 18:39:53 GMT",
Record number of candidates standing at election ,https://www.bbc.com/news/articles/c3ggeng6kqxo,"Mon, 10 Jun 2024 20:15:48 GMT",
Couple caught in deposit trap want election to unlock home-owning dream,https://www.bbc.com/news/articles/cjrrqn0jvgro,"Mon, 10 Jun 2024 16:00:24 GMT",
How I’m approaching my party leader interviews,https://www.bbc.com/news/articles/c6pp0vqq6q0o,"Mon, 10 Jun 2024 12:37:23 GMT",
A quick take on the Liberal Democrat manifesto,https://www.bbc.com/news/videos/ce44z03r3e3o,"Mon, 10 Jun 2024 16:18:14 GMT",
Election poll tracker: How do the parties compare?,https://www.bbc.co.uk/news/uk-politics-68079726,"Tue, 11 Jun 2024 07:27:32 GMT",
Five ways Michael Mosley made us healthier,https://www.bbc.com/news/articles/c1wwv0405wyo,"Mon, 10 Jun 2024 23:09:01 GMT",
Where is summer and why is it so cold?,https://www.bbc.com/weather/articles/c044x1xz42go,"Tue, 11 Jun 2024 09:26:59 GMT",
'Euros might be my last chance to win with England',https://www.bbc.com/sport/football/articles/c511215pel5o,"Tue, 11 Jun 2024 11:25:21 GMT",
'Becoming a totalitarian state': UK judge on why he quit Hong Kong court,https://www.bbc.com/news/articles/c722094n135o,"Tue, 11 Jun 2024 08:56:23 GMT",
Poachers target city's junk food-eating fish,https://www.bbc.com/news/articles/crggkqw6q59o,"Mon, 10 Jun 2024 23:27:41 GMT",
Why the EU might be about to make Chinese electric cars more expensive,https://www.bbc.com/news/articles/cpww6w412n7o,"Mon, 10 Jun 2024 23:01:25 GMT",
Why voters fall out of love with liberation movements,https://www.bbc.com/news/articles/c166zlx6354o,"Tue, 11 Jun 2024 00:03:54 GMT",
Who owns the Moon? A new space race means it could be up for grabs,https://www.bbc.com/news/articles/cxwwjlrk1mlo,"Sat, 08 Jun 2024 23:58:01 GMT",
Will coalition turn domineering Modi into a humbler leader?,https://www.bbc.com/news/articles/cn00xl6n8ldo,"Sat, 08 Jun 2024 23:08:48 GMT",
Thorpe Park to reopen UK's tallest rollercoaster,https://www.bbc.com/news/articles/ce55208n12mo,"Tue, 11 Jun 2024 13:15:29 GMT",
Singapore Airlines turbulence victims offered payouts,https://www.bbc.com/news/articles/cpwwy3wq5p6o,"Tue, 11 Jun 2024 06:10:46 GMT",
Malawi VP confirmed dead in plane crash in forest,https://www.bbc.com/news/articles/c722vpp1ndro,"Tue, 11 Jun 2024 11:54:03 GMT",
Banana giant held liable for funding paramilitaries,https://www.bbc.com/news/articles/c6pprpd3x96o,"Tue, 11 Jun 2024 14:27:12 GMT",
Apple brings ChatGPT to iPhones in AI overhaul,https://www.bbc.com/news/articles/c4nn5mejl89o,"Tue, 11 Jun 2024 09:31:48 GMT",
Fresh appeal to catch woman's murderer 40 years on,https://www.bbc.com/news/articles/c51125prrvvo,"Tue, 11 Jun 2024 05:11:29 GMT",
"Four Tops singer sues hospital, claiming fame-delusion mix-up",https://www.bbc.com/news/articles/c9rr1r2d595o,"Tue, 11 Jun 2024 11:12:28 GMT",
'Euros might be my last chance to win with England',https://www.bbc.com/sport/football/articles/c511215pel5o,"Tue, 11 Jun 2024 11:25:21 GMT",
Defending champion Hodgkinson through to 800m final,https://www.bbc.com/sport/athletics/articles/cjrrzxjq48no,"Tue, 11 Jun 2024 13:30:28 GMT",
Borthwick urges young squad 'not to stay in shadows',https://www.bbc.com/sport/rugby-union/articles/c722l22lzgko,"Tue, 11 Jun 2024 10:11:17 GMT",
"Balotelli, Ibrahimovic, Torres - goals that defined Euro 2012",https://www.bbc.com/sport/football/videos/crgg32g8qg2o,"Mon, 10 Jun 2024 20:10:15 GMT",
Download now,https://www.bbc.co.uk/news/10628994,"Tue, 13 Jun 2023 10:25:22 GMT",
France's snap election: Will President Macron's gamble pay off?,https://www.bbc.co.uk/sounds/play/w3ct6f9v,"Tue, 11 Jun 2024 08:50:00 GMT",
Electioncast: The Lib Dem Manifesto,https://www.bbc.co.uk/sounds/play/p0j3dqt0,"Mon, 10 Jun 2024 19:38:00 GMT",
How to get a job: Six expert tips for finding work,https://www.bbc.co.uk/news/business-64939070,"Tue, 16 Apr 2024 11:11:12 GMT",
Who are the millions of Britons not working?,https://www.bbc.co.uk/news/business-52660591,"Tue, 11 Jun 2024 11:40:50 GMT",
Who gets 15 hours of free childcare and how do I apply?,https://www.bbc.co.uk/news/education-62036045,"Mon, 13 May 2024 09:06:26 GMT",
"How much does uni cost, and will I earn more if I go?",https://www.bbc.co.uk/news/education-62237170,"Fri, 17 May 2024 09:32:06 GMT",
What to do if you are in debt and need help,https://www.bbc.co.uk/news/business-64291327,"Fri, 07 Jun 2024 06:50:18 GMT",
"Girl, 2, dies after being discharged from hospital",https://www.bbc.com/news/articles/c3ggz7z9jx4o,"Tue, 11 Jun 2024 08:31:04 GMT",
Ovarian cancer patient hails treatment as a 'lifeline',https://www.bbc.com/news/articles/c9ww1087zd1o,"Tue, 11 Jun 2024 13:42:44 GMT",
Douglas Ross denies MSP role is 'job insurance' ,https://www.bbc.com/news/articles/c6ppvy6x715o,"Tue, 11 Jun 2024 11:44:10 GMT",
Gething sacked minister without leak inquiry,https://www.bbc.com/news/articles/cv22jgj9my7o,"Tue, 11 Jun 2024 13:29:10 GMT",
