title,link,pub_date,image_url
Tories pledge another National Insurance cut ahead of manifesto launch,https://www.bbc.co.uk/news/live/uk-politics-69108457,"Tue, 11 Jun 2024 05:13:52 GMT",
"Labour promises 100,000 urgent child dental appointments",https://www.bbc.com/news/articles/crgglpvze3no,"Tue, 11 Jun 2024 06:18:48 GMT",
What's the real distance between Sunak and Starmer on climate?,https://www.bbc.com/news/articles/cp335p7x315o,"Tue, 11 Jun 2024 06:25:10 GMT",
UN Security Council backs US Israel-Gaza ceasefire plan,https://www.bbc.com/news/articles/cw448x7lxggo,"Tue, 11 Jun 2024 08:39:56 GMT",
Five ways Michael Mosley made us healthier,https://www.bbc.com/news/articles/c1wwv0405wyo,"Mon, 10 Jun 2024 23:09:01 GMT",
"Elusive GP appointments - in this town, everyone has a view",https://www.bbc.com/news/articles/c4n11y2dg20o,"Tue, 11 Jun 2024 05:43:23 GMT",
Unemployment rate highest for more than two years,https://www.bbc.com/news/articles/c2881jmwjlmo,"Tue, 11 Jun 2024 07:41:42 GMT",
Four US college instructors stabbed in public park in China,https://www.bbc.com/news/articles/c844q27v732o,"Tue, 11 Jun 2024 07:42:04 GMT",
'It's a lovely place but we can't afford to live here',https://www.bbc.com/news/articles/c0dd4kdpp3po,"Tue, 11 Jun 2024 05:25:12 GMT",
King Charles and Queen Camilla to visit Guernsey,https://www.bbc.com/news/articles/cz44yn3xqdzo,"Tue, 11 Jun 2024 08:35:46 GMT",
'Becoming a totalitarian state': UK judge on why he quit Hong Kong court,https://www.bbc.com/news/articles/c722094n135o,"Tue, 11 Jun 2024 08:56:23 GMT",
Singapore Airlines turbulence victims offered payouts,https://www.bbc.com/news/articles/cpwwy3wq5p6o,"Tue, 11 Jun 2024 06:10:46 GMT",
Apple brings ChatGPT to iPhones in AI overhaul,https://www.bbc.com/news/articles/c4nn5mejl89o,"Mon, 10 Jun 2024 21:35:20 GMT",
Sunak promises to 'keep cutting people's taxes',https://www.bbc.com/news/articles/c722v3w66nwo,"Mon, 10 Jun 2024 20:48:31 GMT",
Liberal Democrat manifesto: 11 key policies analysed,https://www.bbc.com/news/articles/cqeevzldj0jo,"Mon, 10 Jun 2024 18:39:53 GMT",
Couple caught in deposit trap want election to unlock home-owning dream,https://www.bbc.com/news/articles/cjrrqn0jvgro,"Mon, 10 Jun 2024 16:00:24 GMT",
Record number of candidates standing at election ,https://www.bbc.com/news/articles/c3ggeng6kqxo,"Mon, 10 Jun 2024 20:15:48 GMT",
Who can I vote for in the general election?,https://www.bbc.com/news/articles/cw55nk6yn01o,"Mon, 10 Jun 2024 14:53:49 GMT",
Labour drops plan to reintroduce pension saving cap,https://www.bbc.com/news/articles/cd11n2krmm4o,"Mon, 10 Jun 2024 14:30:10 GMT",
Tories to promise further 2p National Insurance cut in manifesto,https://www.bbc.com/news/articles/c8005jp0g71o,"Tue, 11 Jun 2024 02:48:38 GMT",
Reform UK candidate apologises over Hitler neutrality comments,https://www.bbc.com/news/articles/cjmmrwexv4ko,"Mon, 10 Jun 2024 16:24:27 GMT",
"Labour pledges 100,000 new childcare places ",https://www.bbc.com/news/articles/cw4489zllkvo,"Mon, 10 Jun 2024 07:13:57 GMT",
Douglas Ross to resign as leader of Scottish Conservatives,https://www.bbc.com/news/articles/ceddenl8xz4o,"Mon, 10 Jun 2024 17:26:41 GMT",
"Be 'ambitious' on climate, scientists urge parties",https://www.bbc.com/news/articles/cy00vdj588xo,"Mon, 10 Jun 2024 12:34:22 GMT",
"Conservatives promise to recruit 8,000 new police officers",https://www.bbc.com/news/articles/c8vvyd52e44o,"Mon, 10 Jun 2024 08:30:30 GMT",
Sunak says he has not considered resigning as PM,https://www.bbc.com/news/articles/c2881zene1po,"Mon, 10 Jun 2024 13:08:23 GMT",
How I’m approaching my party leader interviews,https://www.bbc.com/news/articles/c6pp0vqq6q0o,"Mon, 10 Jun 2024 12:37:23 GMT",
A quick take on the Liberal Democrat manifesto,https://www.bbc.com/news/videos/ce44z03r3e3o,"Mon, 10 Jun 2024 16:18:14 GMT",
Election poll tracker: How do the parties compare?,https://www.bbc.co.uk/news/uk-politics-68079726,"Tue, 11 Jun 2024 07:27:32 GMT",
Poachers target city's junk food-eating fish,https://www.bbc.com/news/articles/crggkqw6q59o,"Mon, 10 Jun 2024 23:27:41 GMT",
Why the EU might be about to make Chinese electric cars more expensive,https://www.bbc.com/news/articles/cpww6w412n7o,"Mon, 10 Jun 2024 23:01:25 GMT",
UK weather: Where is summer?,https://www.bbc.com/weather/articles/c044x1xz42go,"Mon, 10 Jun 2024 11:38:07 GMT",
The Papers: 'Tories offer lower taxes' and blood donor 'red O-lert',https://www.bbc.com/news/articles/cg66egp15ldo,"Tue, 11 Jun 2024 04:35:46 GMT",
Jeremy Bowen: Netanyahu walks tightrope as US urges Gaza ceasefire deal,https://www.bbc.com/news/articles/c511vl9yjwwo,"Mon, 10 Jun 2024 17:12:41 GMT",
Why voters fall out of love with liberation movements,https://www.bbc.com/news/articles/c166zlx6354o,"Tue, 11 Jun 2024 00:03:54 GMT",
"'It is what it is' - boys, 12, on Snapchat after murder",https://www.bbc.com/news/articles/cekk3954890o,"Mon, 10 Jun 2024 15:57:51 GMT",
